FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-mysql.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-psa.yaml,Medium,C-0030 - Ingress and Egress blocked,6,6,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-dualstack.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-v2-mysql-vm.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-v2-mysql.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings-v2.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-ratings.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo-reviews-v2.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\bookinfo\platform\kube\bookinfo.yaml,Medium,C-0030 - Ingress and Egress blocked,6,6,0.0
project-yamls\YAMLfiles\repos\istio\samples\extauthz\ext-authz.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\extauthz\local-ext-authz.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\grpc-echo\grpc-echo.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\health-check\liveness-command.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\health-check\liveness-http-same-port.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\helloworld\helloworld-dual-stack.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\helloworld\helloworld.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\httpbin-nodeport.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\httpbin-vault.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\httpbin.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\httpbin\sample-client\fortio-deploy.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\jwt-server\jwt-server.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\open-telemetry\loki\otel.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\open-telemetry\otel.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\ratelimit\rate-limit-service.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\security\spire\sleep-spire.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\security\spire\spire-quickstart.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\sleep\notsleep.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\sleep\sleep-vault.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\sleep\sleep.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-dual-stack.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-ipv4.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-ipv6.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo-services.yaml,Medium,C-0030 - Ingress and Egress blocked,2,2,0.0
project-yamls\YAMLfiles\repos\istio\samples\tcp-echo\tcp-echo.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\istio\samples\websockets\app.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\jaeger-operator\config\default\manager_auth_proxy_patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\jaeger-operator\config\default\manager_config_patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\jaeger-operator\config\default\manager_webhook_patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\jaeger-operator\config\manager\manager.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\kadalu\extras\sample-app\sample-app.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\kadalu\extras\tie-breaker\tie-breaker.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
